EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 115695 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115695,19370101,   54,    0
115695,19370102,   63,    0
115695,19370103,   59,    0
115695,19370104,   43,    0
115695,19370105,   50,    0
115695,19370106,   94,    0
115695,19370107,   70,    0
115695,19370108,   32,    0
115695,19370109,   19,    0
115695,19370110,   26,    0
115695,19370111,   19,    0
115695,19370112,    9,    0
115695,19370113,   14,    0
115695,19370114,   16,    0
115695,19370115,   22,    0
115695,19370116,   36,    0
115695,19370117,   23,    0
115695,19370118,   64,    0
115695,19370119,   35,    0
115695,19370120,   45,    0
115695,19370121,   26,    0
115695,19370122,   19,    0
115695,19370123,   20,    0
115695,19370124,   33,    0
115695,19370125,   50,    0
115695,19370126,   69,    0
115695,19370127,   61,    0
115695,19370128,   57,    0
115695,19370129,   57,    0
115695,19370130,   13,    0
115695,19370131,   15,    0
115695,19370201,   19,    0
115695,19370202,   34,    0
115695,19370203,   40,    0
115695,19370204,   58,    0
115695,19370205,   99,    0
115695,19370206,   39,    0
115695,19370207,   19,    0
115695,19370208,   40,    0
115695,19370209,   60,    0
115695,19370210,   45,    0
115695,19370211,   39,    0
115695,19370212,   38,    0
115695,19370213,   17,    0
115695,19370214,   12,    0
115695,19370215,   25,    0
115695,19370216,   42,    0
115695,19370217,   73,    0
115695,19370218,   35,    0
115695,19370219,   81,    0
115695,19370220,   64,    0
115695,19370221,   50,    0
115695,19370222,   72,    0
115695,19370223,   50,    0
115695,19370224,   23,    0
115695,19370225,   22,    0
115695,19370226,   83,    0
115695,19370227,   95,    0
115695,19370228,   82,    0
115695,19370301,   91,    0
115695,19370302,   38,    0
115695,19370303,   21,    0
115695,19370304,   34,    0
115695,19370305,   28,    0
115695,19370306,   53,    0
115695,19370307,   33,    0
115695,19370308,   40,    0
115695,19370309,   38,    0
115695,19370310,   44,    0
115695,19370311,   52,    0
115695,19370312,   48,    0
115695,19370313,   71,    0
115695,19370314,   75,    0
115695,19370315,   76,    0
115695,19370316,   29,    0
115695,19370317,   44,    0
115695,19370318,   19,    0
115695,19370319,   13,    0
115695,19370320,    8,    0
115695,19370321,   11,    0
115695,19370322,   20,    0
115695,19370323,   22,    0
115695,19370324,   32,    0
115695,19370325,   42,    0
115695,19370326,   68,    0
115695,19370327,   42,    0
115695,19370328,   16,    0
115695,19370329,   38,    0
115695,19370330,   49,    0
115695,19370331,   36,    0
115695,19370401,   25,    0
115695,19370402,   26,    0
115695,19370403,   15,    0
115695,19370404,   13,    0
115695,19370405,   12,    0
115695,19370406,   18,    0
115695,19370407,   34,    0
115695,19370408,   39,    0
115695,19370409,   18,    0
115695,19370410,   43,    0
115695,19370411,   53,    0
115695,19370412,   19,    0
115695,19370413,   32,    0
115695,19370414,   18,    0
115695,19370415,   36,    0
115695,19370416,   66,    0
115695,19370417,   78,    0
115695,19370418,   58,    0
115695,19370419,   28,    0
115695,19370420,   70,    0
115695,19370421,   50,    0
115695,19370422,   32,    0
115695,19370423,   45,    0
115695,19370424,   36,    0
115695,19370425,   39,    0
115695,19370426,   37,    0
115695,19370427,   30,    0
115695,19370428,   21,    0
115695,19370429,   36,    0
115695,19370430,   40,    0
115695,19370501,   51,    0
115695,19370502,   41,    0
115695,19370503,   27,    0
115695,19370504,   22,    0
115695,19370505,   35,    0
115695,19370506,   25,    0
115695,19370507,   32,    0
115695,19370508,   24,    0
115695,19370509,   19,    0
115695,19370510,   26,    0
115695,19370511,   37,    0
115695,19370512,   33,    0
115695,19370513,   32,    0
115695,19370514,   24,    0
115695,19370515,   28,    0
115695,19370516,   32,    0
115695,19370517,   25,    0
115695,19370518,   21,    0
115695,19370519,   38,    0
115695,19370520,   29,    0
115695,19370521,   44,    0
115695,19370522,   17,    0
115695,19370523,   24,    0
115695,19370524,   21,    0
115695,19370525,   19,    0
115695,19370526,   28,    0
115695,19370527,   31,    0
115695,19370528,   36,    0
115695,19370529,   26,    0
115695,19370530,   21,    0
115695,19370531,   17,    0
115695,19370601,   27,    0
115695,19370602,   30,    0
115695,19370603,   15,    0
115695,19370604,   25,    0
115695,19370605,   14,    0
115695,19370606,   15,    0
115695,19370607,   27,    0
115695,19370608,   21,    0
115695,19370609,   20,    0
115695,19370610,   25,    0
115695,19370611,   25,    0
115695,19370612,   34,    0
115695,19370613,   19,    0
115695,19370614,   27,    0
115695,19370615,   27,    0
115695,19370616,   36,    0
115695,19370617,   27,    0
115695,19370618,   22,    0
115695,19370619,   22,    0
115695,19370620,   26,    0
115695,19370621,   29,    0
115695,19370622,   18,    0
115695,19370623,   25,    0
115695,19370624,   28,    0
115695,19370625,   27,    0
115695,19370626,   14,    0
115695,19370627,   24,    0
115695,19370628,   25,    0
115695,19370629,   33,    0
115695,19370630,   30,    0
115695,19370701,   47,    0
115695,19370702,   13,    0
115695,19370703,   26,    0
115695,19370704,   20,    0
115695,19370705,   24,    0
115695,19370706,   18,    0
115695,19370707,   26,    0
115695,19370708,   24,    0
115695,19370709,   23,    0
115695,19370710,   41,    0
115695,19370711,   35,    0
115695,19370712,   21,    0
115695,19370713,   23,    0
115695,19370714,   20,    0
115695,19370715,   44,    0
115695,19370716,   67,    0
115695,19370717,   15,    0
115695,19370718,   20,    0
115695,19370719,   19,    0
115695,19370720,   23,    0
115695,19370721,   25,    0
115695,19370722,   46,    0
115695,19370723,   45,    0
115695,19370724,   33,    0
115695,19370725,   39,    0
115695,19370726,   34,    0
115695,19370727,   22,    0
115695,19370728,   26,    0
115695,19370729,   20,    0
115695,19370730,   32,    0
115695,19370731,   45,    0
115695,19370801,   48,    0
115695,19370802,   32,    0
115695,19370803,   22,    0
115695,19370804,   26,    0
115695,19370805,   18,    0
115695,19370806,   20,    0
115695,19370807,   14,    0
115695,19370808,   18,    0
115695,19370809,   27,    0
115695,19370810,   21,    0
115695,19370811,   16,    0
115695,19370812,   16,    0
115695,19370813,   25,    0
115695,19370814,   46,    0
115695,19370815,   45,    0
115695,19370816,   32,    0
115695,19370817,   41,    0
115695,19370818,   27,    0
115695,19370819,   25,    0
115695,19370820,   15,    0
