EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 111473 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
111473,19490101, 9901,    0
111473,19490102, 9930,    0
111473,19490103,10052,    0
111473,19490104,10134,    0
111473,19490105,10222,    0
111473,19490106,10374,    0
111473,19490107,10359,    0
111473,19490108,10220,    0
111473,19490109,10246,    0
111473,19490110,10257,    0
111473,19490111,10172,    0
111473,19490112,10173,    0
111473,19490113,10338,    0
111473,19490114,10318,    0
111473,19490115,10263,    0
111473,19490116,10206,    0
111473,19490117,10201,    0
111473,19490118,10216,    0
111473,19490119,10236,    0
111473,19490120,10207,    0
111473,19490121,10189,    0
111473,19490122,10264,    0
111473,19490123,10314,    0
111473,19490124,10294,    0
111473,19490125,10345,    0
111473,19490126,10350,    0
111473,19490127,10382,    0
111473,19490128,10402,    0
111473,19490129,10420,    0
111473,19490130,10406,    0
111473,19490131,10355,    0
111473,19490201,10308,    0
111473,19490202,10408,    0
111473,19490203,10439,    0
111473,19490204,10394,    0
111473,19490205,10344,    0
111473,19490206,10334,    0
111473,19490207,10322,    0
111473,19490208,10264,    0
111473,19490209,10185,    0
111473,19490210,10220,    0
111473,19490211,10253,    0
111473,19490212,10231,    0
111473,19490213,10225,    0
111473,19490214,10313,    0
111473,19490215,10346,    0
111473,19490216,10340,    0
111473,19490217,10298,    0
111473,19490218,10267,    0
111473,19490219,10285,    0
111473,19490220,10312,    0
111473,19490221,10310,    0
111473,19490222,10337,    0
111473,19490223,10345,    0
111473,19490224,10315,    0
111473,19490225,10349,    0
111473,19490226,10299,    0
111473,19490227,10172,    0
111473,19490228,10242,    0
111473,19490301,10134,    0
111473,19490302,10235,    0
111473,19490303,10276,    0
111473,19490304,10304,    0
111473,19490305,10255,    0
111473,19490306,10208,    0
111473,19490307,10176,    0
111473,19490308,10144,    0
111473,19490309,10120,    0
111473,19490310,10142,    0
111473,19490311,10144,    0
111473,19490312,10134,    0
111473,19490313,10150,    0
111473,19490314,10152,    0
111473,19490315,10204,    0
111473,19490316,10182,    0
111473,19490317,10160,    0
111473,19490318,10083,    0
111473,19490319,10213,    0
111473,19490320,10280,    0
111473,19490321,10270,    0
111473,19490322,10309,    0
111473,19490323,10316,    0
111473,19490324,10267,    0
111473,19490325,10232,    0
111473,19490326,10228,    0
111473,19490327,10203,    0
111473,19490328,10208,    0
111473,19490329,10217,    0
111473,19490330,10190,    0
111473,19490331,10154,    0
111473,19490401,10150,    0
111473,19490402,10173,    0
111473,19490403,10219,    0
111473,19490404,10173,    0
111473,19490405,10179,    0
111473,19490406,10071,    0
111473,19490407, 9976,    0
111473,19490408,10135,    0
111473,19490409,10238,    0
111473,19490410,10292,    0
111473,19490411,10201,    0
111473,19490412,10160,    0
111473,19490413,10191,    0
111473,19490414,10232,    0
111473,19490415,10228,    0
111473,19490416,10200,    0
111473,19490417,10206,    0
111473,19490418,10220,    0
111473,19490419,10228,    0
111473,19490420,10206,    0
111473,19490421,10109,    0
111473,19490422,10168,    0
111473,19490423,10245,    0
111473,19490424,10147,    0
111473,19490425,10085,    0
111473,19490426,10175,    0
111473,19490427,10249,    0
111473,19490428,10250,    0
111473,19490429,10167,    0
111473,19490430,10210,    0
111473,19490501,10271,    0
111473,19490502,10238,    0
111473,19490503,10176,    0
111473,19490504,10088,    0
111473,19490505,10016,    0
111473,19490506,10099,    0
111473,19490507,10197,    0
111473,19490508,10260,    0
111473,19490509,10251,    0
111473,19490510,10294,    0
111473,19490511,10285,    0
111473,19490512,10252,    0
111473,19490513,10205,    0
111473,19490514,10092,    0
111473,19490515,10055,    0
111473,19490516,10052,    0
111473,19490517,10062,    0
111473,19490518,10093,    0
111473,19490519,10120,    0
111473,19490520,10141,    0
111473,19490521,10185,    0
111473,19490522,10145,    0
111473,19490523,10096,    0
111473,19490524,10062,    0
111473,19490525,10112,    0
111473,19490526,10098,    0
111473,19490527,10174,    0
111473,19490528,10124,    0
111473,19490529,10102,    0
111473,19490530,10105,    0
111473,19490531,10099,    0
111473,19490601,10116,    0
111473,19490602,10144,    0
111473,19490603,10141,    0
111473,19490604,10132,    0
111473,19490605,10195,    0
111473,19490606,10238,    0
111473,19490607,10172,    0
111473,19490608,10179,    0
111473,19490609,10160,    0
111473,19490610,10181,    0
111473,19490611,10182,    0
111473,19490612,10226,    0
111473,19490613,10259,    0
111473,19490614,10214,    0
111473,19490615,10221,    0
111473,19490616,10215,    0
111473,19490617,10233,    0
111473,19490618,10221,    0
111473,19490619,10213,    0
111473,19490620,10212,    0
111473,19490621,10184,    0
111473,19490622,10184,    0
111473,19490623,10165,    0
111473,19490624,10183,    0
111473,19490625,10185,    0
111473,19490626,10186,    0
111473,19490627,10223,    0
111473,19490628,10208,    0
