EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

 2760,111471,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, CC1,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, CC7,20040101,20200229,     ,                    
 2760,190486,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, QQ2,19640101,20220228,   11,National Climate Data Center (DWD)                
 2760,210271,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, QQ6,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, QQ1,20160101,20200229,     ,                    
 2760,111472,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, HU3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, HU6,20150501,20200229,     ,                    
 2760,111479,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, TX3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, TX7,20040101,20190923,     ,                    
 2760,111477,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, TG3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, TG5,20040101,20190923,     ,                    
 2760,111478,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, TN3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, TN6,20040101,20190923,     ,                    
 2760,111474,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, RR3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,111473,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, PP2,19490101,20180227,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273,PP11,20040101,20200229,     ,                    
 2760,111475,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, SD3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, SD1,20040101,20200229,     ,                    
 2760,111476,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, SS3,19480101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, SS4,20040101,20200229,     ,                    
 2760,115696,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, FX1,19590101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, FX4,20040101,20200229,     ,                    
 2760,115695,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33, 265, FG7,19370101,20220430,   11,National Climate Data Center (DWD)                
 2760,910609,TRIER-PETRISBERG                        ,DE,+49:45:00,+006:40:00, 273, FG5,20040101,20190923,     ,                    
